----------------------------969969099448951372522494
Content-Disposition: form-data; name="file"; filename="RawData.csv"
Content-Type: text/csv

"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.443625401E0,5.313770175E-1,-1.751603961E0,2.443384886E0,3.052967027E0
1.448638324E0,6.052680016E-1,-1.782924056E0,2.509366035E0,3.137209818E0
1.453651000E0,5.974339843E-1,-1.816622019E0,2.521390915E0,3.164562382E0
1.458663846E0,6.031439900E-1,-1.771530032E0,2.452332020E0,3.084806909E0
1.463676769E0,5.945079923E-1,-1.730332971E0,2.288777113E0,2.930186447E0
1.468689692E0,5.986359715E-1,-1.679476976E0,2.017117977E0,2.692168805E0
1.473702362E0,6.695889831E-1,-1.591521025E0,1.637318969E0,2.379517175E0
1.478715285E0,7.527199984E-1,-1.452345014E0,1.203762054E0,2.030993973E0
1.483728236E0,8.613539934E-1,-1.328953028E0,7.298399806E-1,1.743764104E0
1.488740851E0,9.275709987E-1,-1.261670947E0,2.426840067E-1,1.584644144E0
1.493753991E0,9.784229994E-1,-1.208546042E0,-2.034540027E-1,1.568211922E0
1.498766683E0,1.027711034E0,-1.141733050E0,-4.861269891E-1,1.611230516E0
1.503779615E0,1.062623024E0,-1.087646008E0,-7.008649707E-1,1.674321724E0
1.508792539E0,1.069723964E0,-1.032570958E0,-9.021750093E-1,1.739089385E0
1.513805385E0,1.117380977E0,-9.895570278E-1,-1.035712957E0,1.816718109E0
1.518818077E0,1.151173949E0,-9.449080229E-1,-1.074259996E0,1.836324365E0
1.523831009E0,1.144304991E0,-8.709859848E-1,-1.072399020E0,1.793903608E0
1.528843932E0,1.028288960E0,-8.228030205E-1,-1.002768040E0,1.655272406E0
1.533856798E0,9.670869708E-1,-8.821550012E-1,-8.925989866E-1,1.584357159E0
1.538869491E0,9.471489787E-1,-8.995919824E-1,-8.235329986E-1,1.544203200E0
1.543882399E0,9.822450280E-1,-9.161379933E-1,-7.546759844E-1,1.540665427E0
1.548895245E0,1.044878006E0,-9.594740272E-1,-7.267839909E-1,1.593918262E0
1.553908168E0,1.053583026E0,-1.056833029E0,-7.262430191E-1,1.659627117E0
1.558921091E0,1.076670051E0,-1.126330018E0,-7.122349739E-1,1.713218131E0
1.563933798E0,1.141646981E0,-1.195080042E0,-7.392759919E-1,1.810553266E0
1.568946952E0,1.139588952E0,-1.290282011E0,-7.256559730E-1,1.868172165E0
1.573959645E0,1.152362943E0,-1.384621978E0,-6.713929772E-1,1.922468960E0
1.578972491E0,1.125676036E0,-1.478037000E0,-6.037470102E-1,1.953522552E0
